行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,0.77,2437569608000.0
金融服务,银行,工商银行,-0.22,1554515281000.0
工业,工业制品,宁德时代,-0.73,1537999774000.0
金融服务,银行,招商银行,-0.62,1299195141000.0
金融服务,银行,建设银行,-0.17,1082075653000.0
金融服务,银行,农业银行,-0.68,1001762167000.0
金融服务,保险,中国平安,-0.7,883842847000.0
周期性消费,汽车和配件,比亚迪,-1.72,873861254000.0
非周期性消费,酒精饮料,五粮液,-0.66,855606322000.0
能源,石油与天然气,中国石油,-1.62,847680003000.0
金融服务,银行,中国银行,0.0,842723997000.0
金融服务,保险,中国人寿,-0.54,699465464000.0
周期性消费,家具制造,美的集团,-1.44,486458635000.0
非周期性消费,农副加工食品,海天味业,-0.86,485463048000.0
科技,半导体,隆基股份,-3.67,480454263000.0
科技,硬件,海康威视,-1.85,459936157000.0
公用事业,公共事业 - 独立发电商,长江电力,0.0,450972909000.0
医疗保健,医疗器械,迈瑞医疗,0.61,440600015000.0
周期性消费,旅游和娱乐,中国中免,-4.16,415829954000.0
医疗保健,医疗诊断和研究,药明康德,1.38,397636684000.0
非周期性消费,酒精饮料,山西汾酒,-0.89,381448976000.0
金融服务,银行,兴业银行,-0.22,381001051000.0
能源,其他能源,中国神华,0.74,379294342000.0
金融服务,资本市场,东方财富,-1.11,358988825000.0
金融服务,银行,平安银行,-1.06,345027396000.0
医疗保健,医药制造,恒瑞医药,2.14,338871701000.0
非周期性消费,农副加工食品,金龙鱼,0.14,337710869000.0
非周期性消费,酒精饮料,泸州老窖,0.0,337450318000.0
金融服务,银行,交通银行,-0.22,318823994000.0
工业,交通运输,顺丰控股,-3.02,316487472000.0
基础材料,化工,万华化学,-1.31,305331535000.0
科技,硬件,立讯精密,-1.3,295318191000.0
非周期性消费,农副加工食品,牧原股份,0.14,293692364000.0
金融服务,资本市场,中信证券,-0.41,291720576000.0
工业,工业制品,亿纬锂能,1.8,278522808000.0
基础材料,金属与开采,紫金矿业,0.86,267719806000.0
医疗保健,医药制造,片仔癀,-0.13,264582751000.0
非周期性消费,酒精饮料,洋河股份,-0.81,258069843000.0
医疗保健,医疗机构和服务,爱尔眼科,-0.55,254043445000.0
金融服务,银行,浦发银行,-0.46,253602711000.0
工业,工业制品,国电南瑞,10.0,247968717000.0
科技,半导体,韦尔股份,0.64,246266690000.0
金融服务,保险,中国太保,0.11,245600861000.0
非周期性消费,农副加工食品,伊利股份,0.98,243646921000.0
周期性消费,家具制造,海尔智家,-1.58,243496004000.0
周期性消费,汽车和配件,上汽集团,-0.19,241383731000.0
