行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,0.96,2328387.75
金融服务,银行,工商银行,0.64,1600360.17
金融服务,银行,建设银行,1.0,1220772.38
能源,石油与天然气,中国石油,0.32,1038554.84
工业,工业制品,宁德时代,4.68,1011682.65
金融服务,银行,农业银行,0.66,1038716.8
金融服务,银行,招商银行,3.16,993328.33
周期性消费,汽车和配件,比亚迪,-1.58,966470.32
金融服务,银行,中国银行,0.62,891140.87
金融服务,保险,中国平安,5.37,772272.52
非周期性消费,酒精饮料,五粮液,1.55,659873.36
金融服务,保险,中国人寿,9.99,593708.4
能源,其他能源,中国神华,-1.07,639827.78
公用事业,公共事业 - 独立发电商,长江电力,-0.62,540119.16
科技,半导体,隆基股份,-0.69,451732.56
金融服务,银行,兴业银行,2.37,404681.24
周期性消费,家具制造,美的集团,4.8,351741.88
非周期性消费,农副加工食品,海天味业,1.8,361809.74
医疗保健,医疗器械,迈瑞医疗,1.4,357682.34
周期性消费,非生活必需品零售商,中国中免,0.99,344221.44
金融服务,银行,交通银行,1.0,348581.23
非周期性消费,酒精饮料,山西汾酒,2.09,337227.41
金融服务,资本市场,东方财富,6.56,305379.3
科技,硬件,海康威视,3.3,317238.81
非周期性消费,酒精饮料,泸州老窖,2.27,310113.45
金融服务,资本市场,中信证券,5.16,281476.6
基础材料,化工,万华化学,8.33,266156.32
金融服务,银行,平安银行,4.67,286043.24
非周期性消费,农副加工食品,牧原股份,-1.18,287978.03
医疗保健,医疗诊断和研究,药明康德,0.95,274376.5
非周期性消费,农副加工食品,金龙鱼,3.98,247116.14
基础材料,金属与开采,紫金矿业,0.3,254168.44
非周期性消费,酒精饮料,洋河股份,1.68,251290.25
工业,交通运输,顺丰控股,1.28,248774.18
非周期性消费,农副加工食品,伊利股份,1.4,237124.85
非周期性消费,农副加工食品,通威股份,-1.27,236511.34
金融服务,银行,浦发银行,2.29,234817.38
科技,硬件,立讯精密,1.15,227139.32
工业,建筑,中国建筑,3.16,223964.19
工业,交通运输,京沪高铁,0.85,225398.76
金融服务,银行,宁波银行,3.5,213626.16
周期性消费,家具制造,海尔智家,2.61,211582.95
周期性消费,汽车和配件,上汽集团,1.81,205278.42
金融服务,银行,中信银行,2.11,204513.94
能源,其他能源,陕西煤业,-0.5,207957.75
房地产,房地产开发及服务,万科Ａ,4.68,197197.79
医疗保健,医药制造,恒瑞医药,2.91,197749.07
金融服务,保险,中国太保,7.61,183877.95
医疗保健,医疗机构和服务,爱尔眼科,1.98,199734.21
周期性消费,包装和容器,恩捷股份,-1.6,200952.58
医疗保健,医药制造,片仔癀,2.17,188295.3
房地产,房地产开发及服务,保利发展,7.0,180870.99
科技,硬件,工业富联,3.09,186334.68
周期性消费,家具制造,格力电器,2.62,184058.28
工业,工业制品,亿纬锂能,-1.54,186043.31
金融服务,资本市场,中信建投,10.02,156285.85
基础材料,化工,赣锋锂业,1.55,179844.72
基础材料,建筑材料,海螺水泥,1.93,179511.67
公用事业,公共事业 - 独立发电商,三峡能源,0.16,176588.55
工业,工业制品,国电南瑞,0.37,178077.18
基础材料,化工,天齐锂业,4.05,171107.19
基础材料,化工,荣盛石化,2.56,167374.93
能源,其他能源,兖矿能源,-1.36,176081.65
工业,工业制品,汇川技术,-1.38,170304.14
基础材料,农业,盐湖股份,1.04,166463.34
周期性消费,服饰加工,恒力石化,-0.08,163447.9
金融服务,银行,光大银行,1.88,159727.09
科技,半导体,晶澳科技,-2.53,164530.77
金融服务,银行,民生银行,0.77,155876.62
工业,农用和重型工程机械,三一重工,2.25,148972.24
科技,硬件,京东方Ｂ,8.67,138653.44
周期性消费,汽车和配件,广汽集团,3.49,143322.52
工业,建筑,中国中铁,4.03,144454.59
基础材料,钢铁和焦煤,宝钢股份,1.66,145412.73
基础材料,金属与开采,北方稀土,-1.15,149064.7
医疗保健,生物科技,智飞生物,2.57,142416.0
科技,半导体,中环股份,-0.73,146785.35
科技,半导体,Jinko Solar Co Ltd,-3.88,152000.0
工业,交通运输,上港集团,1.66,137809.78
科技,半导体,韦尔股份,2.35,137665.98
金融服务,资本市场,广发证券,5.89,117538.56
科技,半导体,北方华创,1.76,128840.71
能源,其他能源,中煤能源,0.96,130875.19
工业,工业制品,大全能源,-2.35,135423.75
基础材料,化工,合盛硅业,-2.39,127041.56
金融服务,资本市场,国泰君安,3.79,120601.99
基础材料,金属与开采,华友钴业,-1.18,132727.17
公用事业,公共事业 - 独立发电商,中国核电,0.59,126664.81
公用事业,公共事业 - 独立发电商,华能水电,-0.28,129780.0
工业,工业制品,阳光电源,-0.61,127773.13
