行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,0.6,2575833588000.0
金融服务,银行,工商银行,-0.22,1554366663000.0
工业,工业制品,宁德时代,0.15,1408250734000.0
金融服务,银行,招商银行,-1.2,1262000575000.0
金融服务,银行,建设银行,0.34,1094983603000.0
金融服务,银行,农业银行,0.0,1004488798000.0
非周期性消费,酒精饮料,五粮液,-0.28,897232057000.0
金融服务,保险,中国平安,-0.98,888416802000.0
能源,石油与天然气,中国石油,0.61,856823394000.0
金融服务,银行,中国银行,0.33,835179966000.0
周期性消费,汽车和配件,比亚迪,1.11,813023976000.0
金融服务,保险,中国人寿,-0.83,673176387000.0
公用事业,公共事业 - 独立发电商,长江电力,0.09,500320903000.0
周期性消费,家具制造,美的集团,-1.33,493662498000.0
科技,硬件,海康威视,-0.62,479296233000.0
医疗保健,医疗器械,迈瑞医疗,-0.31,450839107000.0
非周期性消费,农副加工食品,海天味业,-1.37,445311427000.0
科技,半导体,隆基股份,-0.98,434064678000.0
能源,其他能源,中国神华,-0.05,416110441000.0
周期性消费,旅游和娱乐,中国中免,-0.95,415799192000.0
金融服务,银行,兴业银行,-1.33,400318655000.0
金融服务,资本市场,东方财富,-0.53,387590593000.0
非周期性消费,酒精饮料,泸州老窖,1.61,369236693000.0
非周期性消费,酒精饮料,山西汾酒,-1.18,366339340000.0
科技,硬件,立讯精密,7.71,345918563000.0
医疗保健,医疗诊断和研究,药明康德,-1.72,340034112000.0
金融服务,银行,平安银行,-0.97,338435463000.0
非周期性消费,农副加工食品,金龙鱼,0.4,337006129000.0
工业,交通运输,顺丰控股,2.68,327144974000.0
医疗保健,医药制造,恒瑞医药,-0.74,317689911000.0
基础材料,化工,万华化学,-0.71,317208602000.0
金融服务,资本市场,中信证券,-0.54,314188512000.0
金融服务,银行,交通银行,-0.44,308749594000.0
医疗保健,医药制造,片仔癀,3.87,292120161000.0
科技,半导体,韦尔股份,6.44,270436326000.0
非周期性消费,农副加工食品,伊利股份,-0.22,265413429000.0
周期性消费,家具制造,海尔智家,-0.54,262011485000.0
非周期性消费,酒精饮料,洋河股份,-0.26,261704253000.0
金融服务,银行,浦发银行,-0.23,252135103000.0
非周期性消费,农副加工食品,牧原股份,3.19,251751235000.0
金融服务,银行,宁波银行,-1.91,250737079000.0
基础材料,金属与开采,紫金矿业,-0.3,248875717000.0
周期性消费,汽车和配件,上汽集团,-1.15,241029809000.0
科技,硬件,工业富联,-1.48,237783052000.0
工业,工业制品,国电南瑞,-1.34,237178336000.0
工业,工业制品,亿纬锂能,0.69,236341442000.0
金融服务,保险,中国太保,-0.83,235574531000.0
医疗保健,医疗机构和服务,爱尔眼科,0.21,233760442000.0
工业,交通运输,京沪高铁,0.21,231291543000.0
房地产,房地产开发及服务,万科Ａ,-1.77,222941063000.0
周期性消费,包装和容器,恩捷股份,3.98,217330488000.0
周期性消费,家具制造,格力电器,-0.81,210494996000.0
医疗保健,生物科技,智飞生物,-1.01,208543353000.0
工业,建筑,中国建筑,-1.39,207643431000.0
基础材料,建筑材料,海螺水泥,-0.73,205095629000.0
