行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-2.74,2677271560000.0
金融服务,银行,工商银行,0.22,1568029147000.0
工业,工业制品,宁德时代,-0.4,1339076439000.0
金融服务,银行,招商银行,-1.66,1242520125000.0
金融服务,银行,建设银行,-0.51,1108998640000.0
金融服务,银行,农业银行,-0.34,1005713050000.0
非周期性消费,酒精饮料,五粮液,-2.59,914312766000.0
金融服务,保险,中国平安,0.18,885325296000.0
能源,石油与天然气,中国石油,0.4,863443693000.0
金融服务,银行,中国银行,0.33,834352782000.0
周期性消费,汽车和配件,比亚迪,-1.17,775324280000.0
金融服务,保险,中国人寿,-0.17,678341524000.0
周期性消费,家具制造,美的集团,1.77,511610147000.0
公用事业,公共事业 - 独立发电商,长江电力,-1.12,505096693000.0
科技,硬件,海康威视,-0.22,471178133000.0
非周期性消费,农副加工食品,海天味业,2.72,462625113000.0
医疗保健,医疗器械,迈瑞医疗,-1.77,443313977000.0
能源,其他能源,中国神华,1.38,427992728000.0
周期性消费,旅游和娱乐,中国中免,0.71,427728818000.0
科技,半导体,隆基股份,-0.17,421290109000.0
金融服务,银行,兴业银行,-1.15,391801239000.0
非周期性消费,酒精饮料,山西汾酒,3.03,384030999000.0
金融服务,资本市场,东方财富,-1.26,381279817000.0
非周期性消费,酒精饮料,泸州老窖,-0.88,378608124000.0
科技,硬件,立讯精密,-1.98,345473001000.0
非周期性消费,农副加工食品,金龙鱼,0.06,344650556000.0
工业,交通运输,顺丰控股,-0.71,333036396000.0
金融服务,银行,平安银行,-0.69,333007126000.0
医疗保健,医疗诊断和研究,药明康德,0.26,328294653000.0
医疗保健,医药制造,恒瑞医药,0.1,320376235000.0
基础材料,化工,万华化学,0.28,320065772000.0
金融服务,资本市场,中信证券,1.01,314386260000.0
金融服务,银行,交通银行,0.22,312848074000.0
医疗保健,医药制造,片仔癀,-1.1,285912026000.0
非周期性消费,农副加工食品,牧原股份,1.91,281220443000.0
科技,半导体,韦尔股份,1.31,274241960000.0
非周期性消费,农副加工食品,伊利股份,-2.31,264325406000.0
非周期性消费,酒精饮料,洋河股份,-1.51,258960816000.0
周期性消费,家具制造,海尔智家,0.03,258468777000.0
金融服务,银行,浦发银行,0.12,251254538000.0
金融服务,银行,宁波银行,-2.92,246517361000.0
基础材料,金属与开采,紫金矿业,-0.41,242986080000.0
周期性消费,汽车和配件,上汽集团,0.73,242548657000.0
科技,硬件,工业富联,0.17,238776296000.0
医疗保健,医疗机构和服务,爱尔眼科,1.09,234787264000.0
金融服务,保险,中国太保,-0.44,234224435000.0
工业,交通运输,京沪高铁,0.43,231782608000.0
工业,工业制品,亿纬锂能,2.35,223279722000.0
工业,工业制品,国电南瑞,-6.6,223092926000.0
房地产,房地产开发及服务,万科Ａ,0.0,219599952000.0
周期性消费,家具制造,格力电器,3.31,216944502000.0
公用事业,公共事业 - 独立发电商,三峡能源,-1.54,216853890000.0
周期性消费,包装和容器,恩捷股份,2.79,215942703000.0
工业,建筑,中国建筑,0.81,209321357000.0
基础材料,建筑材料,海螺水泥,-1.36,207768722000.0
医疗保健,生物科技,智飞生物,-3.12,203726282000.0
工业,农用和重型工程机械,三一重工,0.6,199822184000.0
工业,工业制品,阳光电源,1.58,198335704000.0
金融服务,银行,中信银行,-0.22,197821118000.0
金融服务,资本市场,中信建投,0.17,187854805000.0
科技,硬件,京东方Ｂ,0.0,187542199000.0
科技,硬件,歌尔股份,0.24,185232927000.0
房地产,房地产开发及服务,保利发展,-1.22,183621450000.0
工业,工业制品,汇川技术,0.03,183579169000.0
基础材料,化工,荣盛石化,3.26,181640333000.0
基础材料,化工,赣锋锂业,0.46,179759734000.0
非周期性消费,农副加工食品,通威股份,-3.88,177631092000.0
医疗保健,生物科技,百济神州,0.14,174984932000.0
科技,硬件,闻泰科技,0.07,170779945000.0
基础材料,农业,盐湖股份,1.93,170557494000.0
科技,硬件,北方华创,-2.57,169497636000.0
金融服务,银行,光大银行,0.0,165712522000.0
科技,半导体,三安光电,0.19,165646042000.0
工业,航空航天和国防,航发动力,-1.03,160468774000.0
金融服务,资本市场,广发证券,-0.42,159942437000.0
基础材料,钢铁和焦煤,宝钢股份,-1.38,159441828000.0
金融服务,银行,民生银行,0.0,158840897000.0
基础材料,金属与开采,北方稀土,-0.97,158474339000.0
工业,工业制品,潍柴动力,3.61,153220802000.0
周期性消费,服饰加工,恒力石化,1.4,153170811000.0
公用事业,公共事业 - 独立发电商,华能国际,-3.09,150701696000.0
科技,半导体,天合光能,-3.03,148732458000.0
公用事业,公共事业 - 独立发电商,中国核电,2.67,147841564000.0
金融服务,资本市场,国泰君安,0.69,145332870000.0
科技,硬件,中兴通讯,3.74,145025142000.0
金融服务,资本市场,华泰证券,0.35,144817613000.0
科技,半导体,晶澳科技,-0.66,142240672000.0
金融服务,资本市场,招商证券,0.0,140646956000.0
基础材料,化工,天齐锂业,2.81,138447712000.0
医疗保健,生物科技,万泰生物,-1.99,136942154000.0
金融服务,资本市场,海通证券,0.17,135849223000.0
基础材料,化工,合盛硅业,-1.33,135323379000.0
基础材料,化工,宝丰能源,3.14,134127154000.0
基础材料,金属与开采,华友钴业,1.13,133895491000.0
工业,建筑,中国中铁,0.35,131896960000.0
工业,建筑,东方雨虹,4.03,130337688000.0
工业,航空航天和国防,中航沈飞,-0.75,129690053000.0
科技,硬件,传音控股,-0.3,128270550000.0
医疗保健,医药制造,云南白药,-0.49,127134261000.0
周期性消费,汽车和配件,广汽集团,-1.6,126479807000.0
工业,交通运输,上港集团,-1.09,126403232000.0
基础材料,钢铁和焦煤,包钢股份,-3.47,126270540000.0
非周期性消费,农副加工食品,海大集团,1.66,125763353000.0
科技,半导体,中环股份,-2.93,125520536000.0
基础材料,建筑材料,天山股份,0.4,125231195000.0
非周期性消费,农副加工食品,温氏股份,0.57,124430352000.0
工业,建筑,中国电建,0.24,124381154000.0
科技,半导体,紫光国微,-1.8,123281138000.0
科技,硬件,蓝思科技,0.12,123242754000.0
通信服务,通信,中国联通,0.51,122106089000.0
科技,软件,金山办公,1.11,120445470000.0
能源,其他能源,陕西煤业,-1.35,120218000000.0
科技,软件,科大讯飞,0.2,119214576000.0
金融服务,资本市场,申万宏源,0.4,118471931000.0
科技,软件,用友网络,1.63,117913109000.0
公用事业,公共事业 - 独立发电商,华能水电,-2.1,117360000000.0
周期性消费,汽车和配件,福耀玻璃,-1.18,116630864000.0
医疗保健,医疗器械,爱美客,-1.54,116618041000.0
医疗保健,医药制造,复星医药,0.02,115752693000.0
科技,半导体,卓胜微,0.54,115111826000.0
通信服务,传媒,分众传媒,2.04,114817517000.0
非周期性消费,酒精饮料,古井贡Ｂ,-3.75,114115222000.0
工业,工业制品,先导智能,0.43,113692728000.0
医疗保健,医药制造,长春高新,-2.32,112152040000.0
工业,工业制品,大全能源,-4.34,111958000000.0
非周期性消费,酒精饮料,青岛啤酒,-1.81,111590532000.0
科技,半导体,兆易创新,-3.57,111174733000.0
非周期性消费,农副加工食品,双汇发展,0.41,110349461000.0
医疗保健,生物科技,凯莱英,0.83,109588212000.0
工业,交通运输,中国国航,4.31,109411500000.0
金融服务,资本市场,国信证券,0.27,108716832000.0
工业,工业制品,恒立液压,0.98,106908984000.0
基础材料,化工,天赐材料,-1.46,106764783000.0
医疗保健,生物科技,康龙化成,0.56,106690134000.0
科技,硬件,中航光电,-3.14,105825713000.0
基础材料,化工,璞泰来,0.81,104470004000.0
能源,其他能源,兖州煤业,0.89,103999922000.0
房地产,房地产开发及服务,招商蛇口,1.0,103715245000.0
科技,半导体,福斯特,-2.86,102937958000.0
工业,航空航天和国防,中国船舶,1.65,101747754000.0
金融服务,银行,上海银行,-0.14,101435302000.0
科技,硬件,鹏鼎控股,-2.33,100473473000.0
周期性消费,汽车和配件,长安Ｂ,-1.75,100210434000.0
工业,建筑,中国铁建,0.38,99105508000.0
工业,工业制品,公牛集团,2.15,99080562000.0
周期性消费,服饰加工,华利集团,-4.04,98386790000.0
医疗保健,医疗诊断和研究,泰格医药,0.12,98310034000.0
周期性消费,非生活必需品零售商,芒果超媒,-1.68,98175000000.0
工业,交通运输,南方航空,3.84,98134841000.0
金融服务,保险,新华保险,0.16,98129145000.0
周期性消费,服饰加工,东方盛虹,-9.97,97631221000.0
工业,工业制品,正泰电器,-6.76,97608799000.0
工业,航空航天和国防,中航西飞,-0.09,97483758000.0
基础材料,金属与开采,中国铝业,-3.73,95027644000.0
工业,航空航天和国防,中国重工,0.24,94628446000.0
工业,交通运输,大秦铁路,0.32,94404795000.0
金融服务,银行,北京银行,-0.23,93451990000.0
基础材料,钢铁和焦煤,中信特钢,-2.33,93119796000.0
医疗保健,医药制造,沃森生物,-3.6,92429336000.0
科技,半导体,澜起科技,-1.14,92111112000.0
金融服务,资本市场,东方证券,-0.62,91780836000.0
科技,软件,恒生电子,-2.12,91625227000.0
基础材料,化工,中伟股份,-3.39,91274929000.0
科技,软件,三六零,-0.4,88673958000.0
周期性消费,汽车和配件,华域汽车,1.4,88339328000.0
金融服务,银行,南京银行,-0.78,88261889000.0
科技,半导体,晶盛机电,-1.43,87966323000.0
工业,交通运输,上海机场,2.8,87830766000.0
