行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-1.25,2416924.57
金融服务,银行,工商银行,-0.46,1473922.14
工业,工业制品,宁德时代,-1.45,1199491.5
金融服务,银行,建设银行,-0.18,1077537.91
通信服务,通信,中国移动,0.91,994827.05
金融服务,银行,农业银行,-0.7,964992.74
能源,石油与天然气,中国石油,1.12,948343.57
金融服务,银行,招商银行,-0.77,854848.7
金融服务,银行,中国银行,0.33,844807.86
周期性消费,汽车和配件,比亚迪,0.5,907898.12
金融服务,保险,中国平安,0.14,780226.49
金融服务,保险,中国人寿,-1.07,664638.31
非周期性消费,酒精饮料,五粮液,-1.12,636195.55
能源,其他能源,中国神华,3.59,573991.94
公用事业,公共事业 - 独立发电商,长江电力,-0.54,530112.74
科技,半导体,隆基绿能,1.23,388181.08
周期性消费,非生活必需品零售商,中国中免,-2.36,386977.48
周期性消费,家具制造,美的集团,3.81,363687.2
非周期性消费,农副加工食品,海天味业,-1.85,362597.5
非周期性消费,酒精饮料,山西汾酒,1.09,346403.25
医疗保健,医疗器械,迈瑞医疗,-0.67,358179.44
金融服务,银行,兴业银行,0.06,365626.59
非周期性消费,酒精饮料,泸州老窖,0.38,316250.08
金融服务,银行,交通银行,0.22,317523.08
非周期性消费,农副加工食品,牧原股份,0.68,315125.14
金融服务,资本市场,东方财富,-0.23,297847.22
科技,硬件,海康威视,-0.5,281203.95
基础材料,化工,万华化学,0.5,276643.08
金融服务,资本市场,中信证券,-0.61,272707.26
科技,硬件,立讯精密,-2.56,269105.57
医疗保健,医疗诊断和研究,药明康德,-1.05,254545.5
非周期性消费,农副加工食品,金龙鱼,0.07,246194.47
金融服务,银行,平安银行,-0.63,240633.39
工业,交通运输,顺丰控股,0.81,240941.86
非周期性消费,酒精饮料,洋河股份,-1.61,243830.66
非周期性消费,农副加工食品,通威股份,0.02,238492.02
周期性消费,家具制造,海尔智家,1.66,230361.64
能源,其他能源,陕西煤业,9.23,215616.8
非周期性消费,农副加工食品,伊利股份,-1.45,225256.96
工业,交通运输,京沪高铁,-1.08,222943.44
基础材料,金属与开采,紫金矿业,-0.8,228919.11
医疗保健,医药制造,恒瑞医药,0.14,221096.22
工业,建筑,中国建筑,0.97,204220.69
金融服务,银行,浦发银行,0.0,212803.26
房地产,房地产开发及服务,保利发展,1.68,207088.67
医疗保健,医疗机构和服务,爱尔眼科,0.82,202276.62
能源,其他能源,兖矿能源,4.96,198102.41
金融服务,银行,中信银行,1.79,197582.75
金融服务,银行,宁波银行,0.74,199956.73
房地产,房地产开发及服务,万科A,3.07,188198.76
周期性消费,家具制造,格力电器,3.88,173447.3
工业,工业制品,国电南瑞,0.55,190796.98
金融服务,保险,中国太保,0.14,184973.41
科技,硬件,工业富联,-0.43,182920.14
工业,工业制品,亿纬锂能,1.15,179511.48
医疗保健,医药制造,片仔癀,0.29,176446.15
周期性消费,汽车和配件,上汽集团,-0.65,177822.28
金融服务,资本市场,中信建投,1.54,170706.23
周期性消费,包装和容器,恩捷股份,1.97,175786.73
科技,半导体,晶科能源,4.67,183400.0
公用事业,公共事业 - 独立发电商,三峡能源,-0.49,176874.75
工业,工业制品,阳光电源,1.39,164989.87
基础材料,化工,天齐锂业,-3.27,171461.7
基础材料,建筑材料,海螺水泥,-0.28,165159.14
基础材料,化工,赣锋锂业,-0.86,174661.59
医疗保健,生物科技,智飞生物,6.07,145680.0
科技,半导体,天合光能,2.69,156673.22
非周期性消费,农副加工食品,温氏股份,1.98,160644.87
科技,半导体,晶澳科技,1.89,158863.99
科技,半导体,TCL中环,1.14,158161.05
工业,工业制品,汇川技术,-3.2,153556.94
科技,半导体,北方华创,1.44,166158.59
基础材料,农业,盐湖股份,-1.76,156792.82
基础材料,化工,荣盛石化,2.4,146820.11
金融服务,银行,民生银行,0.56,147258.43
金融服务,银行,光大银行,0.7,142920.79
公用事业,公共事业 - 独立发电商,龙源电力,-0.33,147475.58
科技,硬件,京东方A,-0.81,143494.21
医疗保健,医疗器械,Shanghai United Imaging Healthcare Co Ltd,-1.81,140560.15
工业,建筑,中国中铁,1.74,137083.7
周期性消费,服饰加工,恒力石化,0.83,143175.29
工业,农用和重型工程机械,三一重工,1.71,139035.09
科技,硬件,Hygon Information Technology Co Ltd,15.17,115589.33
科技,半导体,紫光国微,0.86,131663.72
公用事业,公共事业 - 独立发电商,华能水电,1.24,131580.0
工业,交通运输,上海机场,-0.64,133201.85
周期性消费,汽车和配件,长安汽车,0.48,133093.26
公用事业,公共事业 - 独立发电商,华能国际,-1.47,130922.1
工业,交通运输,中国国航,-1.65,127229.37
工业,交通运输,上港集团,-0.74,123638.81
医疗保健,生物科技,百济神州,0.82,122702.69
工业,航空航天和国防,航发动力,0.26,134079.39
金融服务,资本市场,国泰君安,0.2,122506.43
能源,其他能源,中煤能源,4.81,114968.64
周期性消费,汽车和配件,广汽集团,0.93,120987.87
医疗保健,生物科技,万泰生物,4.19,113938.39
基础材料,金属与开采,华友钴业,0.68,130999.0
非周期性消费,酒精饮料,青岛啤酒,-0.66,113986.19
公用事业,公共事业 - 独立发电商,中国核电,-0.16,118757.53
医疗保健,医疗器械,爱美客,-0.89,118089.29
基础材料,钢铁和焦煤,宝钢股份,0.75,119581.37
非周期性消费,酒精饮料,古井贡酒,1.61,112912.74
工业,工业制品,大全能源,0.04,128414.76
周期性消费,服饰加工,东方盛虹,-1.61,125507.39
房地产,房地产开发及服务,招商蛇口,3.9,112216.92
工业,建筑,中国电建,0.52,116624.47
基础材料,化工,合盛硅业,-3.09,129598.08
工业,航空航天和国防,中航沈飞,0.29,133413.82
金融服务,资本市场,广发证券,0.12,113369.78
金融服务,资本市场,华泰证券,-0.3,110949.47
工业,航空航天和国防,中国船舶,-0.16,114762.52
通信服务,通信,中国联通,0.56,109000.66
科技,硬件,歌尔股份,-0.58,110757.13
基础材料,金属与开采,北方稀土,0.43,109427.95
金融服务,银行,南京银行,0.09,109653.0
