行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-0.37,2690775688000.0
金融服务,银行,工商银行,-0.22,1547555364000.0
工业,工业制品,宁德时代,0.39,1523187218000.0
金融服务,银行,招商银行,-0.47,1289446090000.0
金融服务,银行,建设银行,-0.17,1094438668000.0
金融服务,银行,农业银行,0.0,1001769799000.0
非周期性消费,酒精饮料,五粮液,-2.09,948999839000.0
金融服务,保险,中国平安,-0.22,896165418000.0
周期性消费,汽车和配件,比亚迪,-0.2,852353633000.0
能源,石油与天然气,中国石油,-0.62,842119765000.0
金融服务,银行,中国银行,0.33,832303901000.0
金融服务,保险,中国人寿,-0.96,700700276000.0
公用事业,公共事业 - 独立发电商,长江电力,0.0,493043507000.0
周期性消费,家具制造,美的集团,-1.04,492390000000.0
科技,硬件,海康威视,-3.04,488817136000.0
科技,半导体,隆基股份,-0.81,464647860000.0
非周期性消费,农副加工食品,海天味业,-2.67,459971193000.0
医疗保健,医疗器械,迈瑞医疗,-1.33,447420048000.0
周期性消费,旅游和娱乐,中国中免,-1.42,438838403000.0
非周期性消费,酒精饮料,山西汾酒,-1.75,408713913000.0
能源,其他能源,中国神华,0.42,401696981000.0
金融服务,资本市场,东方财富,1.41,401334795000.0
医疗保健,医疗诊断和研究,药明康德,-2.28,395859264000.0
金融服务,银行,兴业银行,-1.09,394709624000.0
非周期性消费,酒精饮料,泸州老窖,-0.71,378813556000.0
非周期性消费,农副加工食品,金龙鱼,-1.69,342969880000.0
金融服务,银行,平安银行,-0.11,340767925000.0
基础材料,化工,万华化学,-0.93,325685917000.0
科技,硬件,立讯精密,-1.34,322488256000.0
医疗保健,医药制造,恒瑞医药,-1.37,321719400000.0
金融服务,资本市场,中信证券,0.72,321336434000.0
金融服务,银行,交通银行,-0.22,311551361000.0
工业,交通运输,顺丰控股,-1.78,307675624000.0
医疗保健,医药制造,片仔癀,-0.9,281598308000.0
非周期性消费,酒精饮料,洋河股份,-2.16,274417519000.0
科技,半导体,韦尔股份,-0.04,267925482000.0
周期性消费,家具制造,海尔智家,-1.53,264360134000.0
非周期性消费,农副加工食品,伊利股份,-1.72,264005402000.0
工业,工业制品,国电南瑞,4.24,260690988000.0
非周期性消费,农副加工食品,牧原股份,-0.9,260171009000.0
工业,工业制品,亿纬锂能,-0.13,253756989000.0
基础材料,金属与开采,紫金矿业,-0.89,252265882000.0
金融服务,银行,宁波银行,0.29,251597574000.0
金融服务,银行,浦发银行,-0.12,251254538000.0
周期性消费,汽车和配件,上汽集团,-0.38,247572545000.0
金融服务,保险,中国太保,-0.25,238064096000.0
科技,硬件,工业富联,-0.42,236817991000.0
医疗保健,医疗机构和服务,爱尔眼科,-1.2,235435997000.0
周期性消费,包装和容器,恩捷股份,-0.67,228865540000.0
工业,交通运输,京沪高铁,-0.43,226871959000.0
房地产,房地产开发及服务,万科Ａ,1.23,220829882000.0
工业,工业制品,阳光电源,0.4,220697948000.0
非周期性消费,农副加工食品,通威股份,2.46,215624158000.0
周期性消费,家具制造,格力电器,-0.39,213275754000.0
公用事业,公共事业 - 独立发电商,三峡能源,1.92,212853950000.0
医疗保健,生物科技,智飞生物,1.0,212463680000.0
工业,建筑,中国建筑,2.49,206804468000.0
基础材料,化工,赣锋锂业,-2.38,206446795000.0
工业,农用和重型工程机械,三一重工,0.42,202115087000.0
基础材料,建筑材料,海螺水泥,0.51,200353086000.0
金融服务,资本市场,中信建投,1.27,197468400000.0
金融服务,银行,中信银行,0.0,195310352000.0
科技,硬件,歌尔股份,-0.26,194422830000.0
科技,硬件,京东方Ｂ,0.59,194370273000.0
科技,硬件,北方华创,-1.19,191322995000.0
基础材料,化工,荣盛石化,0.22,184689798000.0
工业,工业制品,汇川技术,-1.78,181389685000.0
基础材料,金属与开采,北方稀土,-2.1,181108341000.0
基础材料,农业,盐湖股份,-2.68,177542037000.0
科技,硬件,闻泰科技,-0.79,172812555000.0
房地产,房地产开发及服务,保利发展,2.43,171411940000.0
工业,航空航天和国防,航发动力,-0.91,171104494000.0
