行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,2.69,2698449628000.0
金融服务,银行,工商银行,-0.22,1563265782000.0
工业,工业制品,宁德时代,-7.97,1339731869000.0
金融服务,银行,招商银行,-0.7,1259309794000.0
金融服务,银行,建设银行,0.17,1110509855000.0
金融服务,银行,农业银行,-0.34,1002296892000.0
非周期性消费,酒精饮料,五粮液,1.63,925164133000.0
金融服务,保险,中国平安,-0.54,883056330000.0
能源,石油与天然气,中国石油,-1.59,858657796000.0
金融服务,银行,中国银行,0.0,833062800000.0
周期性消费,汽车和配件,比亚迪,-3.57,781957819000.0
金融服务,保险,中国人寿,0.4,676893599000.0
公用事业,公共事业 - 独立发电商,长江电力,1.89,515349413000.0
周期性消费,家具制造,美的集团,-0.26,503588189000.0
科技,硬件,海康威视,0.32,478600667000.0
医疗保健,医疗器械,迈瑞医疗,-0.37,456304688000.0
非周期性消费,农副加工食品,海天味业,-0.78,448381022000.0
能源,其他能源,中国神华,-0.31,425785404000.0
科技,半导体,隆基股份,-2.83,422358035000.0
周期性消费,旅游和娱乐,中国中免,1.76,420626446000.0
金融服务,银行,兴业银行,-0.52,396592091000.0
金融服务,资本市场,东方财富,0.19,387487508000.0
非周期性消费,酒精饮料,泸州老窖,-0.76,382242248000.0
非周期性消费,酒精饮料,山西汾酒,-0.2,370397087000.0
科技,硬件,立讯精密,1.86,353989479000.0
非周期性消费,农副加工食品,金龙鱼,2.51,345799073000.0
工业,交通运输,顺丰控股,3.79,338937244000.0
金融服务,银行,平安银行,-0.12,335528550000.0
医疗保健,医疗诊断和研究,药明康德,-2.74,328532865000.0
医疗保健,医药制造,恒瑞医药,1.4,321411586000.0
基础材料,化工,万华化学,-1.12,317818579000.0
金融服务,银行,交通银行,0.22,312172732000.0
金融服务,资本市场,中信证券,-0.42,311865000000.0
医疗保健,医药制造,片仔癀,1.39,289385153000.0
非周期性消费,农副加工食品,牧原股份,3.21,275570355000.0
科技,半导体,韦尔股份,1.94,271008643000.0
非周期性消费,农副加工食品,伊利股份,1.16,269067454000.0
周期性消费,家具制造,海尔智家,-1.19,262314654000.0
非周期性消费,酒精饮料,洋河股份,0.24,262032441000.0
金融服务,银行,宁波银行,-0.18,252985140000.0
金融服务,银行,浦发银行,-0.35,250961016000.0
工业,工业制品,国电南瑞,-1.37,249194148000.0
基础材料,金属与开采,紫金矿业,-3.19,244336023000.0
周期性消费,汽车和配件,上汽集团,-0.67,241497989000.0
科技,硬件,工业富联,-0.58,238775301000.0
金融服务,保险,中国太保,-0.59,234294867000.0
医疗保健,医疗机构和服务,爱尔眼科,1.08,232076675000.0
工业,交通运输,京沪高铁,-1.06,230794222000.0
公用事业,公共事业 - 独立发电商,三峡能源,3.88,220815835000.0
房地产,房地产开发及服务,万科Ａ,0.1,219686405000.0
工业,工业制品,亿纬锂能,-6.07,219038844000.0
