行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-3.08,2298841974000.0
金融服务,银行,工商银行,-1.05,1615787867000.0
金融服务,银行,招商银行,-1.36,1299446147000.0
金融服务,银行,建设银行,-1.14,1241488753000.0
工业,工业制品,宁德时代,-1.65,1202206432000.0
金融服务,银行,农业银行,-0.66,1060708925000.0
能源,石油与天然气,中国石油,3.17,980203824000.0
金融服务,保险,中国平安,-2.44,980216022000.0
金融服务,银行,中国银行,-1.27,866607447000.0
非周期性消费,酒精饮料,五粮液,-2.8,745113472000.0
周期性消费,汽车和配件,比亚迪,-1.9,725337478000.0
金融服务,保险,中国人寿,-1.78,664400974000.0
公用事业,公共事业 - 独立发电商,长江电力,-0.61,515785366000.0
周期性消费,家具制造,美的集团,-2.88,504932549000.0
能源,其他能源,中国神华,-0.82,479369883000.0
金融服务,银行,兴业银行,0.18,467419292000.0
科技,硬件,海康威视,-1.17,442933944000.0
非周期性消费,农副加工食品,海天味业,-0.83,404617941000.0
周期性消费,非生活必需品零售商,中国中免,-2.26,410722755000.0
科技,半导体,隆基股份,2.64,368080784000.0
医疗保健,医疗器械,迈瑞医疗,-1.95,361254816000.0
非周期性消费,酒精饮料,山西汾酒,-1.25,358347592000.0
金融服务,银行,交通银行,-1.02,349758314000.0
金融服务,资本市场,中信证券,-2.1,331564441000.0
金融服务,银行,平安银行,-0.99,322914479000.0
非周期性消费,酒精饮料,泸州老窖,-4.99,325609387000.0
科技,硬件,立讯精密,-0.35,310034933000.0
非周期性消费,农副加工食品,牧原股份,-1.08,303482485000.0
基础材料,化工,万华化学,-1.52,295826927000.0
医疗保健,医疗诊断和研究,药明康德,0.76,248177464000.0
工业,交通运输,顺丰控股,-1.31,301091691000.0
非周期性消费,农副加工食品,金龙鱼,-2.76,290937754000.0
基础材料,金属与开采,紫金矿业,0.73,277784036000.0
金融服务,资本市场,东方财富,-0.95,285385006000.0
医疗保健,医药制造,恒瑞医药,-1.98,260518453000.0
工业,交通运输,京沪高铁,-2.26,261737563000.0
金融服务,银行,宁波银行,-1.59,260181477000.0
非周期性消费,农副加工食品,伊利股份,-1.71,260741334000.0
金融服务,银行,浦发银行,-0.47,253896253000.0
非周期性消费,酒精饮料,洋河股份,-3.72,246170173000.0
金融服务,保险,中国太保,-1.47,244357981000.0
周期性消费,家具制造,海尔智家,-1.23,229707327000.0
周期性消费,包装和容器,恩捷股份,0.43,217802289000.0
房地产,房地产开发及服务,万科Ａ,-1.18,230206772000.0
科技,硬件,工业富联,-0.79,222687439000.0
周期性消费,家具制造,格力电器,-1.67,222324891000.0
工业,建筑,中国建筑,-1.7,225261661000.0
周期性消费,汽车和配件,上汽集团,-1.01,217195546000.0
医疗保健,医药制造,片仔癀,-0.89,211366152000.0
科技,半导体,韦尔股份,-1.37,211925342000.0
基础材料,建筑材料,海螺水泥,-2.1,216928121000.0
金融服务,银行,中信银行,-0.64,207961642000.0
基础材料,化工,赣锋锂业,-2.09,201869207000.0
公用事业,公共事业 - 独立发电商,三峡能源,0.0,192282830000.0
工业,工业制品,国电南瑞,0.26,179254915000.0
非周期性消费,农副加工食品,通威股份,-0.26,187084342000.0
房地产,房地产开发及服务,保利发展,0.12,192482162000.0
基础材料,化工,荣盛石化,-0.84,191370499000.0
医疗保健,生物科技,智飞生物,-2.08,193584000000.0
科技,硬件,京东方Ｂ,-1.43,186526654000.0
基础材料,农业,盐湖股份,-2.5,184446162000.0
医疗保健,医疗机构和服务,爱尔眼科,-2.09,185535160000.0
周期性消费,服饰加工,恒力石化,-0.62,170416606000.0
工业,工业制品,阳光电源,5.04,161511559000.0
工业,农用和重型工程机械,三一重工,-1.49,173843273000.0
金融服务,资本市场,中信建投,-1.6,176292511000.0
基础材料,金属与开采,北方稀土,-1.84,171371723000.0
金融服务,银行,光大银行,-0.59,173797572000.0
工业,工业制品,汇川技术,-0.68,167699024000.0
工业,工业制品,亿纬锂能,-2.49,167318243000.0
金融服务,银行,民生银行,-0.51,161105797000.0
基础材料,钢铁和焦煤,宝钢股份,-2.99,159664511000.0
科技,硬件,北方华创,-0.29,142375384000.0
医疗保健,生物科技,万泰生物,1.2,150436652000.0
基础材料,化工,合盛硅业,2.57,117621131000.0
科技,半导体,中环股份,1.09,145977411000.0
科技,硬件,歌尔股份,-1.39,153666339000.0
基础材料,化工,天齐锂业,-3.27,150265694000.0
科技,硬件,闻泰科技,0.09,141669172000.0
工业,建筑,中国中铁,-1.57,144470843000.0
能源,其他能源,陕西煤业,-1.08,142807350000.0
科技,半导体,天合光能,3.76,141325088000.0
金融服务,资本市场,国泰君安,-1.85,146243639000.0
科技,半导体,晶澳科技,1.47,136508039000.0
基础材料,金属与开采,华友钴业,-2.22,138323131000.0
金融服务,资本市场,华泰证券,-2.3,145905508000.0
工业,交通运输,上港集团,-0.87,142232733000.0
金融服务,资本市场,招商证券,-1.22,132763731000.0
工业,航空航天和国防,航发动力,0.02,131413797000.0
金融服务,资本市场,海通证券,-1.12,132044729000.0
科技,硬件,中兴通讯,-1.83,128367872000.0
科技,半导体,紫光国微,1.02,119904959000.0
金融服务,资本市场,广发证券,-0.32,130080308000.0
工业,工业制品,潍柴动力,-0.26,127838919000.0
科技,半导体,三安光电,-1.35,127706021000.0
基础材料,化工,宝丰能源,-1.03,126793794000.0
非周期性消费,农副加工食品,温氏股份,-1.68,126908558000.0
公用事业,公共事业 - 独立发电商,中国核电,-0.28,125476042000.0
工业,建筑,中国电建,-4.3,124687135000.0
通信服务,通信,中国联通,0.0,122106089000.0
公用事业,公共事业 - 独立发电商,华能国际,0.91,121189280000.0
工业,交通运输,中国国航,-1.2,122836884000.0
基础材料,建筑材料,天山股份,-3.81,127901113000.0
能源,其他能源,兖矿能源,-1.14,119590086000.0
科技,半导体,Jinko Solar Co Ltd,3.24,117900000000.0
医疗保健,医药制造,云南白药,-0.66,117540055000.0
基础材料,钢铁和焦煤,包钢股份,-0.78,115785983000.0
基础材料,钢铁和焦煤,中信特钢,-2.91,116084299000.0
科技,软件,科大讯飞,-1.79,115867134000.0
工业,建筑,东方雨虹,-5.44,124998711000.0
周期性消费,汽车和配件,广汽集团,-1.98,112811666000.0
周期性消费,服饰加工,东方盛虹,-0.26,112451471000.0
通信服务,传媒,分众传媒,-2.36,114671066000.0
周期性消费,汽车和配件,福耀玻璃,-2.2,113896597000.0
科技,软件,用友网络,-2.2,110041742000.0
科技,半导体,福斯特,2.8,105686650000.0
金融服务,资本市场,申万宏源,-1.05,111937160000.0
房地产,房地产开发及服务,招商蛇口,-0.65,112034651000.0
公用事业,公共事业 - 独立发电商,华能水电,-0.82,111780000000.0
非周期性消费,农副加工食品,海大集团,-2.37,110848109000.0
工业,交通运输,南方航空,0.0,109311012000.0
工业,航空航天和国防,中航沈飞,-0.04,103575592000.0
非周期性消费,酒精饮料,青岛啤酒,-1.5,109398617000.0
工业,工业制品,大全能源,0.68,105490000000.0
科技,硬件,传音控股,-1.69,100900823000.0
工业,建筑,中国铁建,-2.16,104011655000.0
工业,交通运输,上海机场,-2.34,104460418000.0
工业,工业制品,正泰电器,1.28,102854733000.0
科技,半导体,兆易创新,-0.74,101968949000.0
金融服务,资本市场,国信证券,-1.21,105255839000.0
工业,交通运输,大秦铁路,-0.87,103176342000.0
金融服务,银行,上海银行,-0.56,102145720000.0
金融服务,银行,南京银行,-0.1,100671318000.0
非周期性消费,酒精饮料,古井贡Ｂ,-3.9,105914446000.0
金融服务,保险,新华保险,-1.96,99948537000.0
工业,工业制品,先导智能,-0.89,97923422000.0
基础材料,金属与开采,中国铝业,1.95,97334129000.0
金融服务,银行,江苏银行,-0.74,100433476000.0
非周期性消费,农副加工食品,双汇发展,-2.52,99331837000.0
医疗保健,医疗器械,爱美客,-2.0,97102368000.0
医疗保健,医药制造,复星医药,-0.76,113240949000.0
科技,硬件,中航光电,-0.06,95133955000.0
基础材料,化工,璞泰来,-0.06,92693259000.0
科技,软件,金山办公,-3.86,96975960000.0
基础材料,化工,天赐材料,1.38,95617789000.0
金融服务,银行,北京银行,-0.22,98103446000.0
工业,航空航天和国防,中国船舶,-1.49,95218009000.0
周期性消费,服饰加工,华利集团,-0.47,96802650000.0
工业,航空航天和国防,中国重工,-0.98,92804283000.0
科技,半导体,卓胜微,-3.48,89123790000.0
工业,工业制品,公牛集团,-0.7,89467685000.0
科技,半导体,澜起科技,-0.09,89595057000.0
工业,交通运输,中国东航,-1.08,89012440000.0
工业,工业制品,恒立液压,-1.5,89273571000.0
医疗保健,生物科技,康龙化成,0.48,88518943000.0
医疗保健,医药制造,新和成,-0.24,87873628000.0
金融服务,银行,华夏银行,-1.05,89553644000.0
周期性消费,汽车和配件,长安Ｂ,-1.36,87494485000.0
金融服务,银行,杭州银行,-0.95,90021273000.0
基础材料,金属与开采,山东黄金,4.36,82271656000.0
工业,建筑,中国中冶,-2.39,86624728000.0
医疗保健,医疗诊断和研究,泰格医药,0.96,84947956000.0
工业,航空航天和国防,中航西飞,1.9,81979581000.0
医疗保健,生物科技,凯莱英,2.35,80941940000.0
科技,硬件,鹏鼎控股,-1.45,83457067000.0
周期性消费,汽车和配件,华域汽车,-0.04,81655551000.0
科技,半导体,晶盛机电,0.21,80492026000.0
科技,半导体,TCL科技,-1.55,80674503000.0
能源,其他能源,中煤能源,-0.86,82028494000.0
科技,半导体,圣邦股份,-1.38,72453671000.0
金融服务,资本市场,东方证券,0.48,78606847000.0
科技,半导体,士兰微,0.27,70775271000.0
科技,半导体,中微公司,-2.12,80068645000.0
周期性消费,家具制造,科沃斯,-2.19,79178261000.0
基础材料,化工,卫星化学,-1.47,76302744000.0
医疗保健,医药制造,长春高新,2.9,77163728000.0
周期性消费,家具制造,欧派家居,-1.2,77502403000.0
科技,半导体,华润微,-0.03,71879003000.0
工业,工业制品,特变电工,-1.22,74823868000.0
基础材料,化工,中伟股份,0.2,76001527000.0
科技,软件,三六零,-2.39,77241377000.0
医疗保健,医药制造,沃森生物,-3.14,76996159000.0
基础材料,农业,华鲁恒升,-1.14,75859974000.0
科技,软件,恒生电子,-3.49,76015760000.0
公用事业,公共事业 - 独立发电商,国投电力,0.2,74467256000.0
周期性消费,汽车和配件,德赛西威,-0.38,74078628000.0
科技,硬件,蓝思科技,-2.45,75248752000.0
房地产,房地产开发及服务,新城控股,-1.63,73498642000.0
工业,工业制品,三花智控,0.86,69921662000.0
工业,工业制品,国轩高科,-0.49,72214661000.0
科技,软件,宝信Ｂ,-2.76,72394817000.0
医疗保健,生物科技,贝泰妮,-3.12,63264660000.0
科技,半导体,纳思达,-1.71,65862556000.0
非周期性消费,农副加工食品,新希望,-3.94,69333484000.0
基础材料,化工,中国巨石,-1.16,68813920000.0
非周期性消费,酒精饮料,东鹏饮料,-3.3,65061627000.0
科技,硬件,亿联网络,-0.86,67880887000.0
科技,硬件,三环集团,-0.94,67323089000.0
科技,软件,广联达,-2.92,67305612000.0
工业,交通运输,*ST海航B,-0.5,65973601000.0
工业,建筑,中国化学,-0.83,64943673000.0
非周期性消费,酒精饮料,重庆啤酒,-3.46,67180042000.0
金融服务,多元化金融服务,中油资本,-0.77,65233857000.0
医疗保健,医药制造,华东医药,-0.46,61435814000.0
金融服务,银行,沪农商行,-0.3,64907111000.0
周期性消费,汽车和配件,拓普集团,-0.56,64238294000.0
非周期性消费,酒精饮料,今世缘,-3.75,64155130000.0
非周期性消费,酒精饮料,舍得酒业,-3.77,64378601000.0
周期性消费,非生活必需品零售商,芒果超媒,-3.63,69372256000.0
工业,交通运输,宁波港,-0.99,64178115000.0
科技,硬件,容百科技,-0.98,63500373000.0
基础材料,化工,龙佰集团,-0.38,63537626000.0
工业,工业制品,上海电气,-0.44,62965234000.0
能源,石油与天然气,美锦能源,1.39,61620011000.0
基础材料,化工,杉杉股份,1.23,56808809000.0
科技,硬件,紫光股份,-2.83,62464145000.0
工业,工业制品,中天科技,-3.58,61603741000.0
科技,硬件,格科微,-2.07,59648438000.0
周期性消费,汽车和配件,小康股份,-3.99,61196958000.0
基础材料,金属与开采,江西铜业,-1.63,61013634000.0
能源,石油与天然气,中海油服,4.95,57974512000.0
金融服务,资本市场,方正证券,-1.33,62728613000.0
科技,硬件,深信服,-1.1,61745527000.0
工业,工业制品,锦浪科技,0.07,61320650000.0
金融服务,资本市场,中泰证券,-0.8,60905790000.0
工业,工业制品,欣旺达,-1.56,61327621000.0
工业,工业制品,金风科技,-1.11,58990853000.0
基础材料,化工,凯赛生物,-2.51,60235546000.0
医疗保健,医药制造,同仁堂,1.44,60084113000.0
基础材料,钢铁和焦煤,永兴材料,0.78,58347065000.0
科技,半导体,斯达半导,-0.62,59051875000.0
科技,硬件,振华科技,-1.38,54714910000.0
科技,软件,中科创达,-1.24,56261452000.0
基础材料,农业,藏格矿业,-0.35,58760723000.0
科技,软件,同花顺,0.16,58877983000.0
工业,交通运输,圆通速递,-1.16,57296260000.0
房地产,房地产开发及服务,金地集团,-0.23,60043962000.0
科技,半导体,沪硅产业,-1.22,58286111000.0
科技,硬件,深南电路,-2.48,57342796000.0
非周期性消费,酒精饮料,迎驾贡酒,-2.64,60192000000.0
工业,交通运输,韵达股份,1.11,53875338000.0
工业,农用和重型工程机械,中联重科,-1.64,57981312000.0
基础材料,金属与开采,南山铝业,0.41,57959835000.0
基础材料,化工,华熙生物,0.0,56318400000.0
金融服务,资本市场,光大证券,-1.29,57983408000.0
周期性消费,旅游和娱乐,华侨城Ａ,-1.41,57331579000.0
科技,硬件,视源股份,-3.4,59282994000.0
科技,半导体,迈为股份,3.25,55986773000.0
房地产,房地产开发及服务,绿地控股,-0.89,57494529000.0
工业,商业服务,大华股份,-2.27,57345647000.0
医疗保健,医药制造,康泰生物,-0.6,57174916000.0
基础材料,化工,德方纳米,2.13,45121933000.0
金融服务,资本市场,兴业证券,-1.3,56452943000.0
非周期性消费,酒精饮料,酒鬼酒,-4.01,54620561000.0
工业,建筑,四川路桥,3.25,52816259000.0
通信服务,通信,中国卫通,-0.81,53560000000.0
周期性消费,服饰加工,桐昆股份,-0.54,54009077000.0
周期性消费,旅游和娱乐,锦江Ｂ股,0.0,53807402000.0
公用事业,公共事业 - 独立发电商,川投能源,-0.74,53006051000.0
科技,硬件,北京君正,-2.26,49336615000.0
金融服务,银行,成都银行,0.2,53678055000.0
科技,半导体,立昂微,1.86,53096010000.0
工业,工业制品,明阳智能,-1.23,50986115000.0
工业,建筑,北新建材,-3.89,56277507000.0
科技,半导体,思瑞浦,-1.37,51105421000.0
科技,硬件,高德红外,-0.55,51178018000.0
工业,企业集团,新奥股份,1.13,50798487000.0
工业,工业制品,大族激光,-2.56,51873130000.0
工业,工业制品,晨光文具,-2.69,50571412000.0
工业,建筑,招商公路,-3.56,54306647000.0
科技,硬件,晶晨股份,1.52,50189529000.0
科技,硬件,浪潮信息,-2.22,50064873000.0
公用事业,公共事业 - 独立发电商,浙能电力,-0.27,50050539000.0
金融服务,资本市场,红塔证券,-1.3,50516796000.0
科技,半导体,长电科技,-1.37,48617388000.0
工业,工业制品,天华超净,-3.22,44164144000.0
基础材料,化工,中材科技,-0.9,49990356000.0
基础材料,金属与开采,云铝股份,1.58,49141529000.0
周期性消费,汽车和配件,世纪华通,-2.81,51245404000.0
工业,交通运输,春秋航空,-1.35,50286309000.0
基础材料,林业,盛新锂能,-1.88,45647210000.0
医疗保健,医疗机构和服务,通策医疗,-3.07,50330861000.0
金融服务,资本市场,国投资本,-1.31,49153555000.0
科技,硬件,中科曙光,-1.96,49528271000.0
科技,半导体,瑞芯微,-1.13,48196687000.0
非周期性消费,酒精饮料,水井坊,-3.3,49466951000.0
工业,航空航天和国防,中航机电,-0.8,46773290000.0
工业,工业制品,东方电气,-0.49,46600716000.0
公用事业,公共事业 - 独立发电商,国电电力,-0.75,47621103000.0
工业,工业制品,中航重机,-0.8,45556985000.0
医疗保健,医疗产品分销,上海医药,-0.85,47096329000.0
工业,工业制品,宏发股份,-0.22,47366834000.0
通信服务,交互式媒体,三七互娱,-5.06,56954755000.0
医疗保健,生物科技,华兰生物,-1.16,46576082000.0
科技,软件,奇安信,-2.62,46463435000.0
能源,石油与天然气,广汇能源,4.28,44187532000.0
金融服务,资本市场,浙商证券,-0.92,46227772000.0
医疗保健,医药制造,白云山,-0.17,45963486000.0
公用事业,公共事业 - 管制,桂冠电力,0.0,46111910000.0
科技,硬件,法拉电子,-0.26,43083000000.0
科技,硬件,生益科技,-0.15,45723364000.0
周期性消费,家具制造,德业股份,-1.09,39599864000.0
工业,工业制品,石头科技,-4.81,45245910000.0
工业,垃圾处理,格林美,-0.11,43673196000.0
房地产,房地产开发及服务,*ST基础,-0.75,45586985000.0
周期性消费,汽车和配件,星宇股份,4.34,45137349000.0
医疗保健,生物科技,上海莱士,-0.74,45972173000.0
非周期性消费,农副加工食品,安琪酵母,0.86,44608033000.0
非周期性消费,酒精饮料,口子窖,-3.74,45168000000.0
工业,工业制品,中集集团,-1.52,47026109000.0
工业,工业制品,珠海冠宇,-2.73,46399955000.0
基础材料,农业,云天化,-0.94,41454469000.0
周期性消费,汽车和配件,光启技术,1.52,42753379000.0
基础材料,化工,华峰化学,-2.04,44342779000.0
周期性消费,汽车和配件,一汽解放,-1.66,45005288000.0
工业,农用和重型工程机械,徐工机械,-1.4,44575249000.0
能源,其他能源,山西焦煤,-3.34,44488641000.0
基础材料,化工,兴发集团,4.1,43913124000.0
工业,建筑,旗滨集团,-1.57,46096704000.0
非周期性消费,教育,中公教育,-2.21,44834250000.0
周期性消费,家具制造,顾家家居,-3.2,43212527000.0
科技,硬件,领益智造,-0.97,43699485000.0
科技,硬件,中国长城,-3.19,43483772000.0
基础材料,化工,君正集团,-0.2,42527607000.0
能源,石油与天然气,杰瑞股份,3.63,41111351000.0
工业,建筑,宁沪高速,-0.56,43654118000.0
医疗保健,生物科技,以岭药业,3.3,40765723000.0
基础材料,金属与开采,中金黄金,4.92,40378114000.0
基础材料,金属与开采,天山铝业,0.67,43510532000.0
工业,工业制品,当升科技,-1.28,41542185000.0
科技,软件,汇顶科技,-2.84,42453675000.0
工业,工业制品,科达制造,-1.46,39449092000.0
医疗保健,医药制造,健友股份,0.72,41983943000.0
基础材料,化工,联泓新科,0.71,39121651000.0
周期性消费,非生活必需品零售商,豫园股份,2.09,41549291000.0
医疗保健,医药制造,*ST康美,0.0,41868877000.0
基础材料,化工,巨化股份,2.2,40415198000.0
科技,软件,四维图新,-2.52,41934502000.0
科技,半导体,盛美上海,-3.73,36930394000.0
能源,其他能源,潞安环能,-3.02,41431018000.0
非周期性消费,农副加工食品,汤臣倍健,-2.01,41524247000.0
基础材料,金属与开采,锡业股份,0.0,41702723000.0
工业,垃圾处理,伟明环保,3.28,41573391000.0
医疗保健,生物科技,博腾股份,1.45,39996152000.0
基础材料,钢铁和焦煤,太钢不锈,-2.05,41924384000.0
科技,硬件,和辉光电,-0.34,42256880000.0
基础材料,化工,浙江龙盛,-1.19,41284781000.0
基础材料,金属与开采,铜陵有色,0.52,41053479000.0
基础材料,化工,雅化集团,-1.82,29712706000.0
工业,工业制品,上机数控,3.13,35193142000.0
工业,工业制品,东方电缆,-1.94,41262923000.0
周期性消费,旅游和娱乐,宋城演艺,-0.65,40475515000.0
工业,工业制品,长远锂科,-0.72,38892799000.0
金融服务,资本市场,华林证券,-1.0,40257037000.0
金融服务,资本市场,东吴证券,-1.24,40310396000.0
科技,半导体,爱旭股份,0.41,39912052000.0
能源,其他能源,永泰能源,-1.65,40436331000.0
房地产,房地产开发及服务,陆家Ｂ股,-1.05,40107915000.0
公用事业,公共事业 - 独立发电商,大唐发电,-0.38,40578869000.0
基础材料,钢铁和焦煤,华菱钢铁,-2.39,39584699000.0
周期性消费,汽车和配件,北汽蓝谷,-1.92,39957730000.0
周期性消费,家具制造,苏泊尔,-2.42,39423077000.0
科技,软件,国联股份,-0.46,39359387000.0
周期性消费,汽车和配件,玲珑轮胎,-0.97,39489779000.0
科技,硬件,安克创新,0.81,39077963000.0
金融服务,资本市场,永安期货,-1.39,38368444000.0
基础材料,钢铁和焦煤,首钢股份,-1.87,39218359000.0
科技,硬件,方大炭素,-2.02,38897017000.0
金融服务,资本市场,长江证券,-0.85,39041452000.0
医疗保健,医疗器械,乐普医疗,-0.56,38600021000.0
科技,半导体,华天科技,-1.55,37428381000.0
基础材料,化工,新宙邦,-0.35,38908303000.0
工业,工业制品,国网英大,-1.18,38313519000.0
科技,硬件,东山精密,-2.39,40924103000.0
工业,工业制品,中国动力,-0.95,38308894000.0
科技,半导体,翱捷科技,-0.21,38249433000.0
房地产,房地产开发及服务,广宇发展,1.69,36171362000.0
周期性消费,非生活必需品零售商,迪阿股份,-0.71,36606171000.0
医疗保健,生物科技,天坛生物,-0.4,42595877000.0
医疗保健,医疗诊断和研究,昭衍新药,1.33,36996541000.0
工业,商业服务,卫士通,-2.94,38472074000.0
基础材料,化工,光威复材,-1.01,36770405000.0
基础材料,化工,恒逸石化,0.1,37469346000.0
能源,石油与天然气,招商轮船,0.22,37539308000.0
基础材料,农业,扬农化工,0.01,37423392000.0
医疗保健,生物科技,诺唯赞,5.86,37396935000.0
基础材料,化工,石大胜华,-1.39,35935164000.0
基础材料,建筑材料,华新Ｂ股,-1.87,36768737000.0
金融服务,资本市场,财达证券,-1.8,38096300000.0
基础材料,化工,国瓷材料,-3.35,39782300000.0
工业,工业制品,江特电机,-5.07,36054660000.0
周期性消费,汽车和配件,天能股份,-0.75,37260593000.0
医疗保健,医药制造,九洲药业,-1.42,36950262000.0
医疗保健,医疗器械,健帆生物,-2.56,37237647000.0
工业,工业制品,天顺风能,-3.5,37870579000.0
工业,工业制品,西部超导,-0.91,37216496000.0
医疗保健,医疗诊断和研究,金域医学,-2.01,36641640000.0
工业,工业制品,中控技术,-1.79,36441967000.0
非周期性消费,农副加工食品,珀莱雅,-1.94,36985834000.0
医疗保健,医药制造,华润三九,3.65,34604115000.0
工业,工业制品,坚朗五金,-9.99,45530674000.0
工业,企业集团,中国宝安,-1.26,35103103000.0
基础材料,金属与开采,攀钢钒钛,0.0,36389987000.0
公用事业,公共事业 - 管制,华电国际,-1.49,36113007000.0
基础材料,化工,五矿稀土,-0.99,33546402000.0
