行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,2.55,2355370874000.0
金融服务,银行,工商银行,-0.43,1553302527000.0
工业,工业制品,宁德时代,4.18,1552283699000.0
金融服务,银行,招商银行,-0.63,1314692258000.0
金融服务,银行,建设银行,-0.34,1080832676000.0
金融服务,银行,农业银行,0.0,1009414730000.0
周期性消费,汽车和配件,比亚迪,3.06,890489487000.0
金融服务,保险,中国平安,-0.46,887811486000.0
非周期性消费,酒精饮料,五粮液,2.49,845802385000.0
能源,石油与天然气,中国石油,-0.41,839921148000.0
金融服务,银行,中国银行,0.0,836515970000.0
金融服务,保险,中国人寿,-0.24,696798881000.0
非周期性消费,农副加工食品,海天味业,-1.22,498937522000.0
科技,半导体,隆基股份,-1.01,492362178000.0
周期性消费,家具制造,美的集团,-0.27,487471226000.0
科技,硬件,海康威视,0.12,471925000000.0
公用事业,公共事业 - 独立发电商,长江电力,-0.74,456201697000.0
医疗保健,医疗器械,迈瑞医疗,-2.07,448103801000.0
周期性消费,旅游和娱乐,中国中免,-1.03,435382522000.0
非周期性消费,酒精饮料,山西汾酒,-0.34,379028530000.0
医疗保健,医疗诊断和研究,药明康德,-1.48,379664038000.0
金融服务,银行,兴业银行,-1.57,378298014000.0
金融服务,资本市场,东方财富,1.62,369916986000.0
能源,其他能源,中国神华,-0.1,363931689000.0
金融服务,银行,平安银行,0.17,352799592000.0
非周期性消费,农副加工食品,金龙鱼,0.28,351698643000.0
非周期性消费,酒精饮料,泸州老窖,-0.9,334637350000.0
医疗保健,医药制造,恒瑞医药,0.12,332988709000.0
金融服务,银行,交通银行,-0.43,321423748000.0
基础材料,化工,万华化学,-0.42,313409509000.0
工业,交通运输,顺丰控股,-0.39,306010541000.0
非周期性消费,农副加工食品,牧原股份,-0.14,302532995000.0
科技,硬件,立讯精密,-0.79,301389854000.0
金融服务,资本市场,中信证券,0.7,296248208000.0
非周期性消费,酒精饮料,洋河股份,2.56,270594766000.0
基础材料,金属与开采,紫金矿业,0.29,266873131000.0
医疗保健,医药制造,片仔癀,-1.38,266304217000.0
工业,工业制品,亿纬锂能,6.16,258579793000.0
医疗保健,医疗机构和服务,爱尔眼科,0.23,256087329000.0
金融服务,银行,浦发银行,-0.35,253015667000.0
周期性消费,家具制造,海尔智家,-0.85,249325625000.0
金融服务,保险,中国太保,-0.74,248058566000.0
非周期性消费,农副加工食品,伊利股份,-1.27,245294223000.0
周期性消费,汽车和配件,上汽集团,0.87,243717004000.0
科技,半导体,韦尔股份,2.53,239108026000.0
周期性消费,包装和容器,恩捷股份,3.31,238790140000.0
科技,硬件,工业富联,-0.34,236023300000.0
工业,工业制品,阳光电源,3.8,233594770000.0
基础材料,化工,赣锋锂业,3.94,225520443000.0
工业,交通运输,京沪高铁,0.0,225889829000.0
金融服务,银行,宁波银行,-3.56,224579648000.0
工业,工业制品,国电南瑞,0.9,224479285000.0
非周期性消费,农副加工食品,通威股份,-1.14,217739887000.0
房地产,房地产,万科Ａ,-2.76,217733173000.0
周期性消费,家具制造,格力电器,-0.64,211028256000.0
医疗保健,生物科技,智飞生物,-0.69,208720000000.0
科技,硬件,北方华创,-0.57,206695107000.0
工业,建筑,中国建筑,-1.26,196736907000.0
金融服务,银行,中信银行,-0.44,195331565000.0
公用事业,公共事业 - 独立发电商,三峡能源,-1.31,193425670000.0
基础材料,建筑材料,海螺水泥,-0.64,188882192000.0
金融服务,资本市场,中信建投,0.66,187594979000.0
科技,硬件,京东方Ｂ,0.41,188347397000.0
工业,农用和重型工程机械,三一重工,0.59,187083839000.0
科技,硬件,歌尔股份,2.27,184413009000.0
基础材料,金属与开采,北方稀土,4.74,180708702000.0
基础材料,化工,合盛硅业,-0.8,176388730000.0
房地产,房地产,保利发展,-3.79,172968054000.0
工业,工业制品,汇川技术,-0.94,171741935000.0
工业,航空航天和国防,航发动力,1.07,170544719000.0
基础材料,化工,荣盛石化,3.85,169501288000.0
基础材料,化工,天齐锂业,4.51,168271162000.0
金融服务,银行,光大银行,-0.3,167596714000.0
科技,半导体,天合光能,-0.88,166021158000.0
科技,半导体,三安光电,3.67,165825216000.0
金融服务,银行,民生银行,-0.26,160395391000.0
基础材料,金属与开采,华友钴业,9.97,159894968000.0
基础材料,农业,盐湖股份,4.66,159726575000.0
金融服务,资本市场,广发证券,4.18,158401047000.0
科技,半导体,晶澳科技,-1.73,157112941000.0
周期性消费,服饰加工,恒力石化,2.16,156197624000.0
科技,半导体,中环股份,0.73,151115867000.0
医疗保健,生物科技,万泰生物,-1.47,150060288000.0
科技,硬件,闻泰科技,4.76,149307541000.0
基础材料,钢铁和焦煤,宝钢股份,-0.46,144745832000.0
工业,航空航天和国防,中航沈飞,-0.03,143982425000.0
科技,硬件,中兴通讯,1.63,143515177000.0
金融服务,资本市场,国泰君安,0.0,142259617000.0
金融服务,资本市场,招商证券,0.92,142241733000.0
科技,硬件,传音控股,4.44,142308160000.0
金融服务,资本市场,海通证券,0.08,137596679000.0
医疗保健,生物科技,康龙化成,-0.01,137498797000.0
金融服务,资本市场,华泰证券,1.15,133070028000.0
科技,软件,科大讯飞,1.55,132855339000.0
工业,工业制品,大全能源,-1.59,133056000000.0
科技,半导体,紫光国微,3.73,131370022000.0
工业,工业制品,先导智能,2.17,126792074000.0
基础材料,化工,天赐材料,3.25,125854403000.0
医疗保健,医疗器械,爱美客,2.45,125283258000.0
科技,半导体,福斯特,-0.03,124347304000.0
医疗保健,医药制造,复星医药,-3.36,123278190000.0
周期性消费,汽车和配件,长安Ｂ,1.81,122997164000.0
通信服务,通信,中国联通,-0.25,122725917000.0
科技,软件,金山办公,-3.22,123686300000.0
金融服务,资本市场,申万宏源,0.58,121506921000.0
基础材料,化工,璞泰来,0.95,121749171000.0
周期性消费,服饰加工,东方盛虹,7.1,119615507000.0
工业,建筑,中国中铁,-0.38,119341363000.0
医疗保健,医疗诊断和研究,泰格医药,-0.73,119120458000.0
非周期性消费,酒精饮料,古井贡Ｂ,1.54,118606802000.0
周期性消费,汽车和配件,福耀玻璃,2.34,118390410000.0
能源,其他能源,陕西煤业,-0.25,118279000000.0
基础材料,化工,宝丰能源,-1.23,118727098000.0
基础材料,钢铁和焦煤,包钢股份,1.98,117153534000.0
工业,工业制品,正泰电器,-0.88,116249071000.0
