行业,行业细分,公司,涨跌幅,市值
周期性消费,非生活必需品零售商,壹网壹创,1.91,11709099000.0
科技,硬件,光弘科技,-0.07,11704519000.0
科技,硬件,*ST大唐,0.56,11692010000.0
工业,交通运输,宏川智慧,0.27,11637898000.0
公用事业,公共事业 - 管制,晋控电力,1.07,11630514000.0
科技,硬件,安洁科技,-2.4,11623131000.0
科技,硬件,生益电子,0.58,11620542000.0
工业,商业服务,国检集团,-0.36,11608765000.0
非周期性消费,软饮料,承德露露,-0.55,11582327000.0
医疗保健,生物科技,易瑞生物,0.1,11568833000.0
通信服务,传媒,三人行,4.77,11563728000.0
工业,建筑,冰轮环境,-1.27,11553027000.0
基础材料,农业,辉隆股份,3.68,11542263000.0
工业,工业制品,香农芯创,2.92,11537400000.0
科技,硬件,南亚新材,0.9,11525448000.0
房地产,房地产开发及服务,南京高科,0.32,11519118000.0
医疗保健,生物科技,三生国健,1.36,11516990000.0
基础材料,钢铁和焦煤,韶钢松山,-2.26,11516389000.0
通信服务,传媒,风语筑,-1.2,11507013000.0
工业,工业制品,雪人股份,6.21,11496322000.0
工业,建筑,蒙娜丽莎,0.76,11489854000.0
基础材料,化工,凯立新材,1.18,11484214000.0
房地产,房地产开发及服务,海德股份,1.3,11457154000.0
工业,农用和重型工程机械,柳工,0.39,11433231000.0
基础材料,化工,吉林化纤,-1.68,11405317000.0
科技,软件,赛意信息,-2.32,11402605000.0
科技,软件,掌阅科技,0.08,11402539000.0
工业,工业制品,东方电子,-1.51,11396179000.0
基础材料,化工,金城医药,0.58,11378238000.0
基础材料,农业,华锦股份,-0.28,11372036000.0
医疗保健,医药制造,瑞普生物,1.81,11357342000.0
基础材料,金属与开采,金石资源,-0.03,11351711000.0
工业,工业制品,中毅达B,6.38,11351410000.0
基础材料,化工,皇马科技,0.52,11338362000.0
科技,软件,宏力达,-0.25,11335000000.0
周期性消费,汽车和配件,英利汽车,0.26,11311496000.0
基础材料,钢铁和焦煤,开滦股份,-0.42,11305135000.0
工业,工业制品,海容冷链,0.5,11298884000.0
通信服务,交互式媒体,顺网科技,0.12,11289112000.0
科技,软件,优刻得,0.72,11271986000.0
周期性消费,汽车和配件,隆鑫通用,-4.36,11253410000.0
科技,软件,长亮科技,2.77,11247609000.0
医疗保健,医药制造,双鹭药业,2.44,11228937000.0
非周期性消费,农副加工食品,益生股份,3.95,11219490000.0
基础材料,化工,时代新材,-0.21,11215090000.0
非周期性消费,农副加工食品,龙大肉食,0.78,11183364000.0
工业,工业分销,东方集团,0.67,11180875000.0
基础材料,化工,斯迪克,-0.42,11167534000.0
通信服务,交互式媒体,浙数文化,2.8,11163743000.0
通信服务,传媒,浙文互联,10.05,11148048000.0
基础材料,钢铁和焦煤,东方铁塔,2.76,11147139000.0
基础材料,化工,建龙微纳,1.94,11138298000.0
基础材料,化工,飞凯材料,-1.01,11137375000.0
科技,硬件,恒信东方,1.73,11135612000.0
基础材料,金属与开采,新疆众和,-0.12,11129564000.0
非周期性消费,农副加工食品,盐津铺子,-0.6,11117206000.0
非周期性消费,酒精饮料,金种子酒,0.06,11116766000.0
基础材料,化工,氯碱Ｂ股,-0.4,11114181000.0
能源,其他能源,ST平能,0.0,11106654000.0
周期性消费,服饰加工,常山北明,0.14,11094423000.0
基础材料,金属与开采,安泰科技,0.46,11080792000.0
周期性消费,家具制造,浙江美大,-1.32,11073410000.0
基础材料,化工,闰土股份,-1.33,11067656000.0
非周期性消费,酒精饮料,古越龙山,-0.57,11057010000.0
周期性消费,汽车和配件,沧州明珠,0.65,11031450000.0
公用事业,公共事业 - 管制,贵州燃气,0.0,11006248000.0
金融服务,资本市场,瑞达期货,-3.48,10992312000.0
工业,工业制品,三利谱,1.26,10974720000.0
科技,硬件,金安国纪,-0.66,10971007000.0
金融服务,资产管理,爱建集团,0.75,10964196000.0
周期性消费,汽车和配件,三角轮胎,-0.15,10960000000.0
通信服务,传媒,华谊兄弟,1.03,10959583000.0
工业,工业制品,起帆电缆,0.96,10957154000.0
公用事业,公共事业 - 管制,万邦达,-0.39,10944859000.0
工业,建筑,天健集团,0.17,10930991000.0
科技,半导体,苏州固锝,1.27,10930705000.0
房地产,房地产开发及服务,*ST松江,2.56,10916462000.0
基础材料,化工,海利得,2.77,10884615000.0
医疗保健,医疗器械,兴齐眼药,0.55,10884234000.0
医疗保健,医药制造,贵州百灵,4.76,10880352000.0
科技,软件,银之杰,1.65,10868248000.0
工业,农用和重型工程机械,建设机械,-0.27,10849256000.0
工业,工业制品,高测股份,4.69,10844044000.0
非周期性消费,生活必需品零售商,农产品,1.27,10843602000.0
医疗保健,医疗器械,天智航,2.7,10840446000.0
基础材料,建筑材料,苏博特,1.34,10827155000.0
非周期性消费,农副加工食品,李子园,0.08,10822997000.0
通信服务,交互式媒体,中文在线,0.34,10822203000.0
基础材料,化工,鹏欣资源,-0.61,10821017000.0
工业,交通运输,中远海特,-0.2,10819119000.0
科技,硬件,鸿利智汇,-3.04,10804295000.0
基础材料,钢铁和焦煤,中船科技,0.0,10786061000.0
基础材料,化工,合力泰,-0.29,10782890000.0
