行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-1.02,2434712328000.0
金融服务,银行,工商银行,-0.22,1547935594000.0
工业,工业制品,宁德时代,0.78,1544604007000.0
金融服务,银行,招商银行,-2.2,1273520597000.0
金融服务,银行,建设银行,-0.34,1072957428000.0
金融服务,银行,农业银行,0.34,999352403000.0
金融服务,保险,中国平安,-1.26,874354197000.0
周期性消费,汽车和配件,比亚迪,-0.07,868481180000.0
非周期性消费,酒精饮料,五粮液,-0.29,860050909000.0
能源,石油与天然气,中国石油,-1.64,839266204000.0
金融服务,银行,中国银行,-0.32,833963366000.0
金融服务,保险,中国人寿,-1.67,685753275000.0
非周期性消费,农副加工食品,海天味业,-0.47,482550600000.0
周期性消费,家具制造,美的集团,-0.36,481396166000.0
科技,半导体,隆基股份,-0.62,470981016000.0
公用事业,公共事业 - 独立发电商,长江电力,-1.11,445058186000.0
科技,硬件,海康威视,-2.57,446797120000.0
医疗保健,医疗器械,迈瑞医疗,0.49,442913881000.0
医疗保健,医疗诊断和研究,药明康德,3.97,412950918000.0
周期性消费,旅游和娱乐,中国中免,0.14,410820379000.0
非周期性消费,酒精饮料,山西汾酒,0.19,383018303000.0
金融服务,银行,兴业银行,-0.82,376012852000.0
能源,其他能源,中国神华,-2.71,372040467000.0
金融服务,资本市场,东方财富,-0.86,356790566000.0
非周期性消费,酒精饮料,泸州老窖,-0.36,340863750000.0
金融服务,银行,平安银行,-0.79,340570572000.0
医疗保健,医药制造,恒瑞医药,-0.89,335995523000.0
非周期性消费,农副加工食品,金龙鱼,-0.91,334350612000.0
金融服务,银行,交通银行,-0.43,316847544000.0
工业,交通运输,顺丰控股,0.09,314390022000.0
基础材料,化工,万华化学,-0.22,304869397000.0
金融服务,资本市场,中信证券,-0.58,289476919000.0
非周期性消费,农副加工食品,牧原股份,-2.18,288325645000.0
科技,硬件,立讯精密,-3.19,284685130000.0
工业,工业制品,亿纬锂能,1.32,279690325000.0
医疗保健,医药制造,片仔癀,-0.48,264295169000.0
非周期性消费,酒精饮料,洋河股份,0.35,264355835000.0
基础材料,金属与开采,紫金矿业,-1.61,263567938000.0
金融服务,银行,浦发银行,-0.69,251548060000.0
医疗保健,医疗机构和服务,爱尔眼科,-2.1,249655206000.0
周期性消费,家具制造,海尔智家,0.84,244721242000.0
工业,工业制品,国电南瑞,-2.29,249101025000.0
非周期性消费,农副加工食品,伊利股份,-1.22,242070669000.0
金融服务,保险,中国太保,-1.58,241930907000.0
周期性消费,汽车和配件,上汽集团,-1.56,237641605000.0
科技,半导体,韦尔股份,-3.89,237378508000.0
周期性消费,包装和容器,恩捷股份,1.7,235351635000.0
金融服务,银行,宁波银行,0.0,233591673000.0
基础材料,化工,赣锋锂业,2.35,226600092000.0
工业,交通运输,京沪高铁,-1.52,223434505000.0
工业,工业制品,阳光电源,1.61,224712895000.0
科技,硬件,工业富联,-3.53,222910894000.0
房地产,房地产,万科Ａ,-0.94,213420118000.0
周期性消费,家具制造,格力电器,-0.73,207834023000.0
医疗保健,生物科技,智飞生物,-0.72,206831910000.0
基础材料,金属与开采,北方稀土,3.14,204977583000.0
非周期性消费,农副加工食品,通威股份,-0.47,202074498000.0
工业,建筑,中国建筑,-0.64,196317427000.0
科技,硬件,北方华创,-4.19,195824324000.0
金融服务,银行,中信银行,-0.22,195559314000.0
工业,农用和重型工程机械,三一重工,-0.48,191839488000.0
科技,硬件,京东方Ｂ,-1.21,186813462000.0
基础材料,建筑材料,海螺水泥,-1.05,186055250000.0
金融服务,资本市场,中信建投,-0.8,184801841000.0
公用事业,公共事业 - 独立发电商,三峡能源,-2.71,185140080000.0
科技,硬件,歌尔股份,-0.49,179322796000.0
工业,工业制品,汇川技术,-3.04,177050948000.0
基础材料,化工,天齐锂业,3.68,176482075000.0
房地产,房地产,保利发展,-1.89,166863300000.0
金融服务,银行,光大银行,-0.3,166690898000.0
基础材料,化工,荣盛石化,0.18,166463262000.0
基础材料,化工,合盛硅业,-0.07,163079817000.0
工业,航空航天和国防,航发动力,1.44,163747454000.0
科技,半导体,三安光电,-1.85,161345874000.0
金融服务,资本市场,广发证券,0.09,158472112000.0
金融服务,银行,民生银行,0.0,159146957000.0
基础材料,农业,盐湖股份,1.71,158911642000.0
基础材料,金属与开采,华友钴业,0.54,154705225000.0
基础材料,钢铁和焦煤,宝钢股份,1.34,152315935000.0
周期性消费,服饰加工,恒力石化,-1.38,151551818000.0
医疗保健,生物科技,万泰生物,-2.3,147771747000.0
科技,硬件,闻泰科技,-1.42,147194796000.0
科技,半导体,中环股份,0.82,146300585000.0
科技,半导体,天合光能,1.45,145382253000.0
医疗保健,生物科技,康龙化成,1.59,143561120000.0
金融服务,资本市场,招商证券,-0.52,141491937000.0
科技,半导体,晶澳科技,-0.41,138534886000.0
金融服务,资本市场,国泰君安,-0.36,138686340000.0
科技,硬件,中兴通讯,-2.58,137515061000.0
基础材料,钢铁和焦煤,包钢股份,5.63,138578499000.0
工业,航空航天和国防,中航沈飞,0.49,137375388000.0
科技,硬件,传音控股,-0.49,136415732000.0
金融服务,资本市场,海通证券,-0.08,134668770000.0
金融服务,资本市场,华泰证券,-1.54,133571048000.0
基础材料,化工,璞泰来,10.0,126811635000.0
基础材料,化工,天赐材料,0.46,125930821000.0
科技,软件,科大讯飞,0.0,125263605000.0
工业,工业制品,大全能源,0.67,124701500000.0
工业,工业制品,先导智能,0.89,125590915000.0
科技,软件,金山办公,-1.43,123617150000.0
医疗保健,医药制造,复星医药,-0.57,123331750000.0
科技,半导体,紫光国微,-0.16,123256867000.0
工业,建筑,中国中铁,-0.92,122568582000.0
医疗保健,医疗器械,爱美客,-1.9,121660553000.0
通信服务,通信,中国联通,-0.51,121486261000.0
科技,半导体,卓胜微,-5.08,121386267000.0
医疗保健,医药制造,长春高新,-0.19,120525703000.0
医疗保健,医疗诊断和研究,泰格医药,1.5,119768152000.0
基础材料,化工,宝丰能源,1.37,119020433000.0
金融服务,资本市场,申万宏源,0.0,118952227000.0
能源,其他能源,陕西煤业,-1.05,118860700000.0
医疗保健,生物科技,凯莱英,2.51,117469976000.0
公用事业,公共事业 - 独立发电商,中国核电,-3.05,117712715000.0
科技,半导体,福斯特,2.43,114836267000.0
周期性消费,汽车和配件,长安Ｂ,-0.06,115362682000.0
非周期性消费,酒精饮料,古井贡Ｂ,-1.73,115591048000.0
周期性消费,汽车和配件,福耀玻璃,-1.92,113981726000.0
医疗保健,医药制造,云南白药,-1.77,114038852000.0
基础材料,化工,中伟股份,-0.64,114278731000.0
